Precinct,Num Crimes,Index,,
1,16265,0,,
5,10522,1,,
6,17435,2,,
71,16662,3,,
72,13157,4,,
7,8445,5,,
9,15548,6,,
22,992,7,,
10,12173,8,,
13,23491,9,,
14,33728,10,,
17,11453,11,,
20,10883,12,,
18,26734,13,,
19,22440,14,,
23,10610,15,,
24,11557,16,,
25,11316,17,,
79,19633,18,,
26,7248,19,,
28,10221,20,,
30,8764,21,,
32,11945,22,,
73,21606,23,,
33,9308,24,,
34,13895,25,,
75,37498,26,,
40,20876,27,,
41,14164,28,,
42,14592,29,,
43,26539,30,,
48,17726,31,,
44,24038,32,,
45,13906,33,,
46,19057,34,,
47,22795,35,,
49,16054,36,,
50,11008,37,,
67,24732,38,,
52,23924,39,,
60,14407,40,,
61,15948,41,,
62,14334,42,,
63,14324,43,,
66,13387,44,,
68,10753,45,,
69,11889,46,,
70,20646,47,,
76,6416,48,,
77,16176,49,,
78,10184,50,,
81,15541,51,,
83,19699,52,,
84,11776,53,,
88,11488,54,,
90,18577,55,,
94,10179,56,,
100,5146,57,,
101,8574,58,,
102,16462,59,,
103,19231,60,,
104,17500,61,,
105,21000,62,,
106,16483,63,,
107,14404,64,,
108,13517,65,,
109,22048,66,,
110,18538,67,,
111,9759,68,,
112,9244,69,,
113,21642,70,,
114,21751,71,,
115,20146,72,,
120,16058,73,,
121,4391,74,,
122,10314,75,,
123,4283,76,,
