"(40.501464332, -74.238536244)"
"(40.503177662, -74.238269072)"
"(40.503230831, -74.243019383)"
"(40.505931838, -74.242975261)"
"(40.506535567, -74.236468639)"
"(40.508764542, -74.222660114)"
"(40.509188973, -74.24343662)"
"(40.511586338, -74.249303727)"
"(40.511586338, -74.249303727)"
"(40.511586338, -74.249303727)"
"(40.511804335, -74.250034592)"
"(40.5149214, -74.245439155)"
"(40.516579523, -74.196877172)"
"(40.516579523, -74.196877172)"
"(40.51728641, -74.234107729)"
"(40.51853153, -74.239924318)"
"(40.52094838, -74.182474059)"
"(40.522307665, -74.234977775)"
"(40.522307665, -74.234977775)"
"(40.525421752, -74.200964277)"
"(40.527595098, -74.191657765)"
"(40.527860154, -74.215543763)"
"(40.529113972, -74.208418071)"
"(40.529130979, -74.217015538)"
"(40.531046021, -74.168471987)"
"(40.531576263, -74.222930369)"
"(40.533029404, -74.195177267)"
"(40.533190797, -74.237692552)"
"(40.534839139, -74.154990751)"
"(40.535505113, -74.203156746)"
"(40.53608643, -74.206561859)"
"(40.536263081, -74.209051963)"
"(40.536349445, -74.208350695)"
"(40.536685723, -74.147162959)"
"(40.536996587, -74.148750213)"
"(40.53719148, -74.202564658)"
"(40.538907744, -74.19091309)"
"(40.538925625, -74.22217057)"
"(40.538972061, -74.21063986)"
"(40.539631, -74.15943076)"
"(40.539759978, -74.185065481)"
"(40.53981392, -74.143532459)"
"(40.540202798, -74.194482247)"
"(40.540785887, -74.223957701)"
"(40.540929614, -74.17790175)"
"(40.541687675, -74.146461587)"
"(40.541769909, -74.146548118)"
"(40.541769909, -74.146548118)"
"(40.541924761, -74.182182338)"
"(40.543212033, -74.143507376)"
"(40.544028527, -74.165025413)"
"(40.54443971, -74.165400626)"
"(40.545143044, -74.21474676)"
"(40.545383985, -74.219421491)"
"(40.546046196, -74.213216849)"
"(40.546239862, -74.173151922)"
"(40.547035915, -74.19535491)"
"(40.547313004, -74.213915348)"
"(40.547332342, -74.181999179)"
"(40.547567235, -74.192801717)"
"(40.547739024, -74.172824769)"
"(40.547739024, -74.172824769)"
"(40.547987597, -74.185897875)"
"(40.548171306, -74.141787262)"
"(40.548340533, -74.155255955)"
"(40.548527585, -74.191361575)"
"(40.548775667, -74.152119252)"
"(40.54903084, -74.209678434)"
"(40.549261507, -74.139126818)"
"(40.549331537, -74.194793086)"
"(40.549437184, -74.160181021)"
"(40.549546039, -74.150735645)"
"(40.550334116, -74.146246646)"
"(40.550431325, -74.218182228)"
"(40.550694042, -74.182440144)"
"(40.550868024, -74.17105165)"
"(40.550945096, -74.176352312)"
"(40.551125651, -74.153862641)"
"(40.551806991, -74.140524722)"
"(40.551945258, -74.192778366)"
"(40.551945258, -74.192778366)"
"(40.551945258, -74.192778366)"
"(40.551945258, -74.192778366)"
"(40.55342106, -74.211984489)"
"(40.555225592, -74.130095849)"
"(40.555737853, -73.928020919)"
"(40.556386989, -74.167913311)"
"(40.556497859, -74.138278196)"
"(40.556988844, -73.922805005)"
"(40.557354183, -74.169088937)"
"(40.557579037, -74.145175676)"
"(40.557799273, -74.179652495)"
"(40.557947285, -74.15328455)"
"(40.558013931, -73.913061897)"
"(40.558251524, -74.147325625)"
"(40.558479074, -74.153811198)"
"(40.558500669, -74.171510247)"
"(40.558895005, -74.197696447)"
"(40.559697491, -74.16960591)"
"(40.559709705, -74.157160994)"
"(40.559728552, -74.113157473)"
"(40.55980706, -74.156218314)"
"(40.559824324, -74.121507058)"
"(40.560329033, -74.163770066)"
"(40.560905178, -74.111266419)"
"(40.561209281, -74.10899958)"
"(40.561284941, -74.181554927)"
"(40.561354353, -73.924707414)"
"(40.561522218, -74.171838314)"
"(40.561617998, -74.117609019)"
"(40.561862513, -74.146102729)"
"(40.562010744, -74.111876492)"
"(40.56207524, -74.113283814)"
"(40.56207524, -74.113283814)"
"(40.562859875, -73.911245268)"
"(40.562859875, -73.911245268)"
"(40.563130295, -74.100350558)"
"(40.563285107, -74.10525273)"
"(40.563838951, -74.154363404)"
"(40.56423129, -74.139474717)"
"(40.564764214, -74.182280617)"
